Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
tibia_foot_l2,0.133496701038692,-0.0152332736232117,-0.00205862678367474,0,0,0,0.12021416807033,2.29812069729442E-05,-1.24106060337982E-05,-4.15464620797377E-08,0.00017602202790064,-2.18365087265079E-10,0.000189786291606238,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_l2.STL,,leg_l2-1/Tibia_L-1,tibia_foot_l2 <leg_l2-1>,Axis_tibia_foot_joint_l2,tibia_foot_joint_l2,continuous,0.1444,-0.0031016,0.0058,0,0,-3.1416,tibia_l2,0.99995,-0.0095683,0,,,,,,,,,,,,
leg_center_l3,-0.0209900083298349,0.0279151996541266,-0.00100016534520471,0,0,0,0.103363766488573,3.38472306567645E-05,1.28574301930106E-05,1.72592739813232E-07,3.0318385728118E-05,-1.34817859357668E-07,3.52896594422946E-05,0,0,0,0,0,0,package://hexapod/meshes/leg_center_l3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/leg_center_l3.STL,,leg_l3-1/Coxa_L-1,leg_center_l3,leg_center_joint_l3 <leg_l3-1>,leg_center_joint_l3,revolute,-0.077819,0.05449,-0.0017,0,0,0,thorax,0,0,-1,0,0,-1.57,1.57,,,,,,,,
coxa_l3,0.0348344911373695,-0.00252923874254912,-0.00100016534520471,0,0,0,0.103363766488573,1.91048770090535E-05,-6.25550734094643E-13,-2.15046976421127E-07,4.50607393758289E-05,-4.14597029674846E-08,3.52896594422946E-05,0,0,0,0,0,0,package://hexapod/meshes/coxa_l3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/coxa_l3.STL,,leg_l3-1/Coxa_L-1,coxa_l3 <leg_l3-1>,coxa_joint_l3 <leg_l3-1>,coxa_joint_l3,revolute,0,0,0,0,0,2.288,leg_center_l3,0,0,-1,0,0,-1.57,1.57,,,,,,,,
femur_l3,-0.0043461850507205,0.0344416273048208,-0.00581874872468231,0,0,0,0.0166543143060304,1.09887835413518E-05,-2.51700314249262E-10,2.30180367469778E-12,1.0107001676025E-06,9.21597603799202E-08,1.14929241444439E-05,0,0,0,0,0,0,package://hexapod/meshes/femur_l3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/femur_l3.STL,,leg_l3-1/Femur_L-1,femur_l3 <leg_l3-1>,femur_joint_l3 <leg_l3-1>,femur_joint_l3,revolute,0.053487,-0.00025,-0.01255,1.5708,-1.5708,0,coxa_l3,0,0,1,0,0,-1.57,1.57,,,,,,,,
tibia_l3,0.0108992410697003,0.0121320882126049,0.00374133116233456,0,0,0,0.120214011881358,2.29816761087102E-05,-1.24111837736268E-05,4.15681097308728E-08,0.000176023115978277,1.37085554409446E-10,0.000189787821616293,0,0,0,0,0,0,package://hexapod/meshes/tibia_l3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_l3.STL,,leg_l3-1/Tibia_L-1,tibia_l3 <leg_l3-1>,tibia_joint_l3 <leg_l3-1>,tibia_joint_l3,revolute,0,0.07,-0.0059688,3.1416,0,3.132,femur_l3,0,0,1,0,0,-1.57,1.57,,,,,,,,
tibia_foot_l3,0.133496674204977,-0.0152337166515678,-0.00205866883766549,0,0,0,0.120214011881358,2.29816761087102E-05,-1.24111837736268E-05,-4.15681097308764E-08,0.000176023115978277,-1.37085554443325E-10,0.000189787821616293,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_l3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_l3.STL,,leg_l3-1/Tibia_L-1,tibia_foot_l3 <leg_l3-1>,Axis_tibia_foot_joint_l3,tibia_foot_joint_l3,continuous,0.144395915274677,-0.00310162843896286,0.00580000000000006,0,0,3.14159265358979,tibia_l3,0.999954222827223,-0.00956829399654586,0,,,,,,,,,,,,
leg_center_r1,0.0235444380164901,-0.0257652324761874,-0.00100016535985495,0,0,0,0.103363766514852,3.48507405337265E-05,1.26793236959017E-05,-1.0258130073321E-07,2.93148757675598E-05,1.93497225893235E-07,3.52896595571695E-05,0,0,0,0,0,0,package://hexapod/meshes/leg_center_r1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/leg_center_r1.STL,,leg_r1-1/Coxa_R-1,leg_center_r1,leg_center_joint_r1 <leg_r1-1>,leg_center_joint_r1,revolute,0.077819,-0.05449,-0.0017,0,0,0,thorax,0,0,-1,0,0,-1.57,1.57,,,,,,,,
coxa_r1,0.0348344909739739,0.00217853268244035,-0.00100016535985496,0,0,0,0.103363766514852,1.91048769186334E-05,-4.48253924396951E-13,-2.15046742290026E-07,4.5060739382653E-05,4.14608046103754E-08,3.52896595571694E-05,0,0,0,0,0,0,package://hexapod/meshes/coxa_r1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/coxa_r1.STL,,leg_r1-1/Coxa_R-1,coxa_r1 <leg_r1-1>,coxa_joint_r1 <leg_r1-1>,coxa_joint_r1,revolute,0,0,0,0,0,-0.89286,leg_center_r1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
femur_r1,-0.00362186654971272,0.0356362982329174,0.00581875542791389,0,0,0,0.0167057128879861,1.10325216372562E-05,-2.00367430072518E-07,-1.93334135332625E-09,1.01761005526357E-06,-9.66778963830072E-08,1.15426655477571E-05,0,0,0,0,0,0,package://hexapod/meshes/femur_r1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/femur_r1.STL,,leg_r1-1/Femur_R-1,femur_r1 <leg_r1-1>,femur_joint_r1 <leg_r1-1>,femur_joint_r1,revolute,0.053487,-0.00025,-0.01255,1.5708,-1.5708,0,coxa_r1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
tibia_r1,0.0108992485821746,0.0125037219591843,-0.00374166830282576,0,0,0,0.120214017887961,2.29816742236997E-05,-1.24111932632468E-05,-4.13635941016623E-08,0.000176023190447477,1.33753642844033E-10,0.000189787887885197,0,0,0,0,0,0,package://hexapod/meshes/tibia_r1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_r1.STL,,leg_r1-1/Tibia_R-1,tibia_r1 <leg_r1-1>,tibia_joint_r1 <leg_r1-1>,tibia_joint_r1,revolute,0.0013997,0.069986,0.0059687,3.1416,0,3.1297,femur_r1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
